
---------------------------------------------
------------- Cheyette DD Model ------------
  SIGMA piecewise constant 
       for x in [0, 1], y = 0.2
       for x in [1, 2[, y = 0.2
       for x in [2, 3[, y = 0.2
       for x in [3, 4[, y = 0.2
       for x in [4, 5[, y = 0.2
       for x in [5, 6[, y = 0.2
       for x in [6, 7[, y = 0.2
       for x in [7, 8[, y = 0.2
       for x in [8, 9], y = 0.2
  M piecewise constant 
       for x in [0, 1], y = 0.4
       for x in [1, 2[, y = 0.4
       for x in [2, 3[, y = 0.4
       for x in [3, 4[, y = 0.4
       for x in [4, 5[, y = 0.4
       for x in [5, 6[, y = 0.4
       for x in [6, 7[, y = 0.4
       for x in [7, 8[, y = 0.4
       for x in [8, 9], y = 0.4
  k constant 
       k = 0.2
---------------------------------------------
shift 1 : r(t) / r(0)
courbe des taux ZC spot (yield)
listeMatu   ;   tauxZC
0 ; 0.0481018
0.5 ; 0.0481018
1 ; 0.0454337
1.5 ; 0.0435663
2 ; 0.0425312
2.5 ; 0.0419058
3 ; 0.0416209
3.5 ; 0.0413664
4 ; 0.0412767
4.5 ; 0.0412434
5 ; 0.0413025
5.5 ; 0.0413943
6 ; 0.041547
6.5 ; 0.0417485
7 ; 0.0419924
7.5 ; 0.0422102
8 ; 0.0424662
8.5 ; 0.042731
9 ; 0.0430291
9.5 ; 0.0432986
10 ; 0.0436006
10.5 ; 0.0438754
11 ; 0.0441821
11.5 ; 0.0444603
12 ; 0.04477
sigma : ;0.280501; volModel : ;0.135; volQuote : ;0.135
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.280501 ]
 Min Function Value : ;3.33067e-016

m : ;0.10924; skewModel : ;-1.06932; skewQuote : ;-1.1
m : ;0.10924; skewModel : ;-1.06932; skewQuote : ;-1.1
m : ;0.109251; skewModel : ;-1.0693; skewQuote : ;-1.1
m : ;0.097105; skewModel : ;-1.1; skewQuote : ;-1.1
m : ;0.0971147; skewModel : ;-1.09998; skewQuote : ;-1.1
m : ;0.0971068; skewModel : ;-1.1; skewQuote : ;-1.1
m : ;0.0971165; skewModel : ;-1.09998; skewQuote : ;-1.1
m : ;0.0971068; skewModel : ;-1.1; skewQuote : ;-1.1
m : ;0.0971068; skewModel : ;-1.1; skewQuote : ;-1.1
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.0971068 ]
 Min Function Value : ;2.21156e-013

sigma : ;0.280501; volModel : ;0.135182; volQuote : ;0.135
sigma : ;0.280501; volModel : ;0.135182; volQuote : ;0.135
sigma : ;0.280529; volModel : ;0.13519; volQuote : ;0.135
sigma : ;0.279854; volModel : ;0.135; volQuote : ;0.135
sigma : ;0.279882; volModel : ;0.135008; volQuote : ;0.135
sigma : ;0.279854; volModel : ;0.135; volQuote : ;0.135
sigma : ;0.279882; volModel : ;0.135008; volQuote : ;0.135
sigma : ;0.279854; volModel : ;0.135; volQuote : ;0.135
sigma : ;0.279854; volModel : ;0.135; volQuote : ;0.135
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.279854 ]
 Min Function Value : ;2.77556e-016


------ Calibration sur la swaption suivante -------

sigma : ;0.2; volModel : ;0.112647; volQuote : ;0.131
sigma : ;0.2; volModel : ;0.112647; volQuote : ;0.131
sigma : ;0.20002; volModel : ;0.112651; volQuote : ;0.131
sigma : ;0.316252; volModel : ;0.13422; volQuote : ;0.131
sigma : ;0.316283; volModel : ;0.134226; volQuote : ;0.131
sigma : ;0.300823; volModel : ;0.13104; volQuote : ;0.131
sigma : ;0.300853; volModel : ;0.131046; volQuote : ;0.131
sigma : ;0.300626; volModel : ;0.131; volQuote : ;0.131
sigma : ;0.300656; volModel : ;0.131006; volQuote : ;0.131
sigma : ;0.300626; volModel : ;0.131; volQuote : ;0.131
sigma : ;0.300656; volModel : ;0.131006; volQuote : ;0.131
sigma : ;0.300626; volModel : ;0.131; volQuote : ;0.131
sigma : ;0.300626; volModel : ;0.131; volQuote : ;0.131
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.300626 ]
 Min Function Value : ;2.77556e-017

m : ;0.4; skewModel : ;-0.430372; skewQuote : ;-0.9
m : ;0.4; skewModel : ;-0.430372; skewQuote : ;-0.9
m : ;0.40004; skewModel : ;-0.430288; skewQuote : ;-0.9
m : ;0.176342; skewModel : ;-0.904835; skewQuote : ;-0.9
m : ;0.176359; skewModel : ;-0.904798; skewQuote : ;-0.9
m : ;0.1786; skewModel : ;-0.9; skewQuote : ;-0.9
m : ;0.178618; skewModel : ;-0.899962; skewQuote : ;-0.9
m : ;0.1786; skewModel : ;-0.9; skewQuote : ;-0.9
m : ;0.178618; skewModel : ;-0.899962; skewQuote : ;-0.9
m : ;0.1786; skewModel : ;-0.9; skewQuote : ;-0.9
m : ;0.1786; skewModel : ;-0.9; skewQuote : ;-0.9
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.1786 ]
 Min Function Value : ;4.51084e-013

sigma : ;0.300626; volModel : ;0.133822; volQuote : ;0.131
sigma : ;0.300626; volModel : ;0.133822; volQuote : ;0.131
sigma : ;0.300656; volModel : ;0.133829; volQuote : ;0.131
sigma : ;0.287699; volModel : ;0.131032; volQuote : ;0.131
sigma : ;0.287727; volModel : ;0.131038; volQuote : ;0.131
sigma : ;0.28755; volModel : ;0.131; volQuote : ;0.131
sigma : ;0.287579; volModel : ;0.131006; volQuote : ;0.131
sigma : ;0.28755; volModel : ;0.131; volQuote : ;0.131
sigma : ;0.287579; volModel : ;0.131006; volQuote : ;0.131
sigma : ;0.28755; volModel : ;0.131; volQuote : ;0.131
sigma : ;0.28755; volModel : ;0.131; volQuote : ;0.131
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.28755 ]
 Min Function Value : ;1.38778e-016

m : ;0.1786; skewModel : ;-0.88567; skewQuote : ;-0.9
m : ;0.1786; skewModel : ;-0.88567; skewQuote : ;-0.9
m : ;0.178618; skewModel : ;-0.885634; skewQuote : ;-0.9
m : ;0.171535; skewModel : ;-0.900004; skewQuote : ;-0.9
m : ;0.171552; skewModel : ;-0.899969; skewQuote : ;-0.9
m : ;0.171537; skewModel : ;-0.9; skewQuote : ;-0.9
m : ;0.171554; skewModel : ;-0.899965; skewQuote : ;-0.9
m : ;0.171537; skewModel : ;-0.9; skewQuote : ;-0.9
m : ;0.171537; skewModel : ;-0.9; skewQuote : ;-0.9
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.171537 ]
 Min Function Value : ;2.01283e-013

sigma : ;0.28755; volModel : ;0.131084; volQuote : ;0.131
sigma : ;0.28755; volModel : ;0.131084; volQuote : ;0.131
sigma : ;0.287579; volModel : ;0.13109; volQuote : ;0.131
sigma : ;0.287156; volModel : ;0.131; volQuote : ;0.131
sigma : ;0.287185; volModel : ;0.131006; volQuote : ;0.131
sigma : ;0.287156; volModel : ;0.131; volQuote : ;0.131
sigma : ;0.287184; volModel : ;0.131006; volQuote : ;0.131
sigma : ;0.287156; volModel : ;0.131; volQuote : ;0.131
sigma : ;0.287156; volModel : ;0.131; volQuote : ;0.131
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.287156 ]
 Min Function Value : ;2.77556e-016


------ Calibration sur la swaption suivante -------

sigma : ;0.2; volModel : ;0.112485; volQuote : ;0.126
sigma : ;0.2; volModel : ;0.112485; volQuote : ;0.126
sigma : ;0.20002; volModel : ;0.112488; volQuote : ;0.126
sigma : ;0.300453; volModel : ;0.128263; volQuote : ;0.126
sigma : ;0.300483; volModel : ;0.128269; volQuote : ;0.126
sigma : ;0.287649; volModel : ;0.126028; volQuote : ;0.126
sigma : ;0.287677; volModel : ;0.126033; volQuote : ;0.126
sigma : ;0.287484; volModel : ;0.126; volQuote : ;0.126
sigma : ;0.287513; volModel : ;0.126005; volQuote : ;0.126
sigma : ;0.287484; volModel : ;0.126; volQuote : ;0.126
sigma : ;0.287513; volModel : ;0.126005; volQuote : ;0.126
sigma : ;0.287484; volModel : ;0.126; volQuote : ;0.126
sigma : ;0.287484; volModel : ;0.126; volQuote : ;0.126
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.287484 ]
 Min Function Value : ;2.498e-016

m : ;0.4; skewModel : ;-0.461122; skewQuote : ;-0.8
m : ;0.4; skewModel : ;-0.461122; skewQuote : ;-0.8
m : ;0.40004; skewModel : ;-0.461056; skewQuote : ;-0.8
m : ;0.196288; skewModel : ;-0.804327; skewQuote : ;-0.8
m : ;0.196308; skewModel : ;-0.804294; skewQuote : ;-0.8
m : ;0.198826; skewModel : ;-0.800001; skewQuote : ;-0.8
m : ;0.198846; skewModel : ;-0.799967; skewQuote : ;-0.8
m : ;0.198827; skewModel : ;-0.8; skewQuote : ;-0.8
m : ;0.198847; skewModel : ;-0.799966; skewQuote : ;-0.8
m : ;0.198827; skewModel : ;-0.8; skewQuote : ;-0.8
m : ;0.198827; skewModel : ;-0.8; skewQuote : ;-0.8
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.198827 ]
 Min Function Value : ;6.21725e-015

sigma : ;0.287484; volModel : ;0.127994; volQuote : ;0.126
sigma : ;0.287484; volModel : ;0.127994; volQuote : ;0.126
sigma : ;0.287513; volModel : ;0.128; volQuote : ;0.126
sigma : ;0.276633; volModel : ;0.126023; volQuote : ;0.126
sigma : ;0.27666; volModel : ;0.126028; volQuote : ;0.126
sigma : ;0.276507; volModel : ;0.126; volQuote : ;0.126
sigma : ;0.276535; volModel : ;0.126005; volQuote : ;0.126
sigma : ;0.276507; volModel : ;0.126; volQuote : ;0.126
sigma : ;0.276535; volModel : ;0.126005; volQuote : ;0.126
sigma : ;0.276507; volModel : ;0.126; volQuote : ;0.126
sigma : ;0.276507; volModel : ;0.126; volQuote : ;0.126
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.276507 ]
 Min Function Value : ;1.11022e-016

m : ;0.198827; skewModel : ;-0.78812; skewQuote : ;-0.8
m : ;0.198827; skewModel : ;-0.78812; skewQuote : ;-0.8
m : ;0.198847; skewModel : ;-0.788088; skewQuote : ;-0.8
m : ;0.191492; skewModel : ;-0.800005; skewQuote : ;-0.8
m : ;0.191511; skewModel : ;-0.799974; skewQuote : ;-0.8
m : ;0.191495; skewModel : ;-0.8; skewQuote : ;-0.8
m : ;0.191514; skewModel : ;-0.799969; skewQuote : ;-0.8
m : ;0.191495; skewModel : ;-0.8; skewQuote : ;-0.8
m : ;0.191495; skewModel : ;-0.8; skewQuote : ;-0.8
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.191495 ]
 Min Function Value : ;4.78062e-013

sigma : ;0.276507; volModel : ;0.126068; volQuote : ;0.126
sigma : ;0.276507; volModel : ;0.126068; volQuote : ;0.126
sigma : ;0.276535; volModel : ;0.126073; volQuote : ;0.126
sigma : ;0.276127; volModel : ;0.126; volQuote : ;0.126
sigma : ;0.276154; volModel : ;0.126005; volQuote : ;0.126
sigma : ;0.276126; volModel : ;0.126; volQuote : ;0.126
sigma : ;0.276154; volModel : ;0.126005; volQuote : ;0.126
sigma : ;0.276126; volModel : ;0.126; volQuote : ;0.126
sigma : ;0.276126; volModel : ;0.126; volQuote : ;0.126
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.276126 ]
 Min Function Value : ;3.60822e-016


------ Calibration sur la swaption suivante -------

sigma : ;0.2; volModel : ;0.11108; volQuote : ;0.121
sigma : ;0.2; volModel : ;0.11108; volQuote : ;0.121
sigma : ;0.20002; volModel : ;0.111083; volQuote : ;0.121
sigma : ;0.279226; volModel : ;0.122381; volQuote : ;0.121
sigma : ;0.279254; volModel : ;0.122385; volQuote : ;0.121
sigma : ;0.270511; volModel : ;0.121014; volQuote : ;0.121
sigma : ;0.270538; volModel : ;0.121018; volQuote : ;0.121
sigma : ;0.270422; volModel : ;0.121; volQuote : ;0.121
sigma : ;0.270449; volModel : ;0.121004; volQuote : ;0.121
sigma : ;0.270422; volModel : ;0.121; volQuote : ;0.121
sigma : ;0.270449; volModel : ;0.121004; volQuote : ;0.121
sigma : ;0.270422; volModel : ;0.121; volQuote : ;0.121
sigma : ;0.270422; volModel : ;0.121; volQuote : ;0.121
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.270422 ]
 Min Function Value : ;1.38778e-017

m : ;0.4; skewModel : ;-0.486383; skewQuote : ;-0.8
m : ;0.4; skewModel : ;-0.486383; skewQuote : ;-0.8
m : ;0.40004; skewModel : ;-0.48633; skewQuote : ;-0.8
m : ;0.164285; skewModel : ;-0.804727; skewQuote : ;-0.8
m : ;0.164302; skewModel : ;-0.804704; skewQuote : ;-0.8
m : ;0.167736; skewModel : ;-0.800001; skewQuote : ;-0.8
m : ;0.167753; skewModel : ;-0.799978; skewQuote : ;-0.8
m : ;0.167737; skewModel : ;-0.8; skewQuote : ;-0.8
m : ;0.167754; skewModel : ;-0.799977; skewQuote : ;-0.8
m : ;0.167737; skewModel : ;-0.8; skewQuote : ;-0.8
m : ;0.167737; skewModel : ;-0.8; skewQuote : ;-0.8
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.167737 ]
 Min Function Value : ;1.65867e-013

sigma : ;0.270422; volModel : ;0.122698; volQuote : ;0.121
sigma : ;0.270422; volModel : ;0.122698; volQuote : ;0.121
sigma : ;0.270449; volModel : ;0.122702; volQuote : ;0.121
sigma : ;0.26019; volModel : ;0.121021; volQuote : ;0.121
sigma : ;0.260216; volModel : ;0.121025; volQuote : ;0.121
sigma : ;0.260061; volModel : ;0.121; volQuote : ;0.121
sigma : ;0.260087; volModel : ;0.121004; volQuote : ;0.121
sigma : ;0.260061; volModel : ;0.121; volQuote : ;0.121
sigma : ;0.260087; volModel : ;0.121004; volQuote : ;0.121
sigma : ;0.260061; volModel : ;0.121; volQuote : ;0.121
sigma : ;0.260061; volModel : ;0.121; volQuote : ;0.121
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.260061 ]
 Min Function Value : ;6.93889e-017

m : ;0.167737; skewModel : ;-0.785585; skewQuote : ;-0.8
m : ;0.167737; skewModel : ;-0.785585; skewQuote : ;-0.8
m : ;0.167754; skewModel : ;-0.785563; skewQuote : ;-0.8
m : ;0.15663; skewModel : ;-0.80001; skewQuote : ;-0.8
m : ;0.156646; skewModel : ;-0.799989; skewQuote : ;-0.8
m : ;0.156637; skewModel : ;-0.8; skewQuote : ;-0.8
m : ;0.156653; skewModel : ;-0.79998; skewQuote : ;-0.8
m : ;0.156637; skewModel : ;-0.8; skewQuote : ;-0.8
m : ;0.156637; skewModel : ;-0.8; skewQuote : ;-0.8
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.156637 ]
 Min Function Value : ;7.00551e-014

sigma : ;0.260061; volModel : ;0.121076; volQuote : ;0.121
sigma : ;0.260061; volModel : ;0.121076; volQuote : ;0.121
sigma : ;0.260087; volModel : ;0.12108; volQuote : ;0.121
sigma : ;0.259592; volModel : ;0.121; volQuote : ;0.121
